,USDT_value,USDC_value,timestamp
0,2918703.28861,2050328.58009,2020-05-20 00:00:00
1,2918104.39134,2639634.09834,2020-05-21 00:00:00
2,2814683.44232,2433883.20287,2020-05-22 00:00:00
3,2777368.4567,2251167.5231,2020-05-23 00:00:00
4,2239984.80028,2313784.97106,2020-05-24 00:00:00
5,2179070.90059,2558796.52922,2020-05-25 00:00:00
6,1853787.5413,2567160.36312,2020-05-26 00:00:00
7,1958545.77119,2503369.11713,2020-05-27 00:00:00
8,2784070.95596,2399965.87437,2020-05-28 00:00:00
9,3021413.87608,2508679.53199,2020-05-29 00:00:00
10,2665603.1257,2802039.14511,2020-05-30 00:00:00
11,2495612.3896,2886469.53202,2020-05-31 00:00:00
12,2427874.5726,3268603.2225,2020-06-01 00:00:00
13,2511096.07161,3196446.94152,2020-06-02 00:00:00
14,2700630.27822,2982966.08848,2020-06-03 00:00:00
15,2694641.10002,2824501.65901,2020-06-04 00:00:00
16,2648086.57185,2818369.48588,2020-06-05 00:00:00
17,2756626.49967,3002005.09504,2020-06-06 00:00:00
18,2725742.71989,3034448.93447,2020-06-07 00:00:00
19,2580453.05474,3053931.68443,2020-06-08 00:00:00
20,2874218.66458,3182612.43163,2020-06-09 00:00:00
21,2795983.02932,3264545.52494,2020-06-10 00:00:00
22,4052112.48604,3201619.13115,2020-06-11 00:00:00
23,3777956.27059,2802593.55645,2020-06-12 00:00:00
24,3485464.74926,2804636.01799,2020-06-13 00:00:00
25,3698280.5486,2785885.83356,2020-06-14 00:00:00
26,3195776.57975,3084152.75061,2020-06-15 00:00:00
27,1816228.40871,3473380.64819,2020-06-16 00:00:00
28,1125820.87621,2252115.26492,2020-06-17 00:00:00
29,811483.21239,1418848.39122,2020-06-18 00:00:00
30,789424.48325,1343238.89884,2020-06-19 00:00:00
31,556804.19354,756276.18856,2020-06-20 00:00:00
32,2407402.99831,877278.12889,2020-06-21 00:00:00
33,7661283.28944,2713835.63764,2020-06-22 00:00:00
34,4247855.47651,5406279.11891,2020-06-23 00:00:00
35,4461182.20294,4734802.38933,2020-06-24 00:00:00
36,3615123.16866,5769541.65906,2020-06-25 00:00:00
37,1471892.45844,6402063.48196,2020-06-26 00:00:00
38,4337159.31227,3964006.28546,2020-06-27 00:00:00
39,6154062.90485,3884683.38829,2020-06-28 00:00:00
40,6254569.61813,4179164.05858,2020-06-29 00:00:00
41,6872871.70747,4335068.2227,2020-06-30 00:00:00
42,6972063.30444,1677509.61778,2020-07-01 00:00:00
43,5978274.02075,1717305.34713,2020-07-02 00:00:00
44,5167566.68698,934275.66147,2020-07-03 00:00:00
45,7838455.3355,1364732.79787,2020-07-04 00:00:00
46,5265376.84784,1662310.65918,2020-07-05 00:00:00
47,5165074.21851,956548.98412,2020-07-06 00:00:00
48,5007938.70759,2178650.51815,2020-07-07 00:00:00
49,5209602.44795,2141279.13002,2020-07-08 00:00:00
50,4057991.69545,1947940.84848,2020-07-09 00:00:00
51,4289638.78415,1659325.26258,2020-07-10 00:00:00
52,4909592.43725,1654923.27967,2020-07-11 00:00:00
53,5022353.48145,1959672.83446,2020-07-12 00:00:00
54,6211398.70145,3019439.78632,2020-07-13 00:00:00
55,5674640.78002,2914602.22033,2020-07-14 00:00:00
56,6191572.65757,2671958.08983,2020-07-15 00:00:00
57,6286779.66234,2885532.95915,2020-07-16 00:00:00
58,8578164.97867,2471890.55433,2020-07-17 00:00:00
59,10092450.1179,2939352.21405,2020-07-18 00:00:00
60,8576845.47564,2465967.14399,2020-07-19 00:00:00
61,28660635.00584,34291310.87292,2020-07-20 00:00:00
62,78732316.8294,72026320.946,2020-07-21 00:00:00
63,98932168.6315,97849638.6683,2020-07-22 00:00:00
64,115365486.51608,91045392.93437,2020-07-23 00:00:00
65,116535566.02029,93478359.35623,2020-07-24 00:00:00
66,98441219.86183,62451050.64347,2020-07-25 00:00:00
67,114801019.86978,99293338.61099,2020-07-26 00:00:00
68,62099756.21509,57384686.36493,2020-07-27 00:00:00
69,43350333.7745,50094788.36103,2020-07-28 00:00:00
70,37039784.76042,49185823.825,2020-07-29 00:00:00
71,38592245.67424,63170227.28923,2020-07-30 00:00:00
72,46031951.28591,78697659.04856,2020-07-31 00:00:00
73,49272834.58346,97063756.93728,2020-08-01 00:00:00
74,44670349.84465,83159545.87923,2020-08-02 00:00:00
75,37492890.15428,109694310.42772,2020-08-03 00:00:00
76,30150951.46899,78245893.2907,2020-08-04 00:00:00
77,29040957.21467,73262537.34187,2020-08-05 00:00:00
78,26298259.24586,74393270.7115,2020-08-06 00:00:00
79,25838828.2734,76875405.03796,2020-08-07 00:00:00
80,22193566.12018,78870512.49911,2020-08-08 00:00:00
81,23221382.05854,61830590.06995,2020-08-09 00:00:00
82,26001367.16517,59067225.9745,2020-08-10 00:00:00
83,15536584.97643,40380118.72143,2020-08-11 00:00:00
84,25108061.91025,54470834.89028,2020-08-12 00:00:00
85,23479710.0921,56472505.11447,2020-08-13 00:00:00
86,19179048.43553,1378519.91938,2020-08-14 00:00:00
87,122491490.62321,191865165.508,2020-08-15 00:00:00
88,121687433.51678,205074551.59581,2020-08-16 00:00:00
89,155528423.98772,199432814.28866,2020-08-17 00:00:00
90,137724039.48244,196812189.51916,2020-08-18 00:00:00
91,139017463.33357,197232350.95686,2020-08-19 00:00:00
92,155896768.10827,207258763.73911,2020-08-20 00:00:00
93,172303236.68678,196535482.42172,2020-08-21 00:00:00
94,207623768.87523,215332628.22335,2020-08-22 00:00:00
95,211153006.41138,205970249.68693,2020-08-23 00:00:00
96,209022357.75728,192475305.82567,2020-08-24 00:00:00
97,234646711.92473,174360855.09159,2020-08-25 00:00:00
98,246935103.91977,191268710.33007,2020-08-26 00:00:00
99,261556217.88202,180789523.13441,2020-08-27 00:00:00
100,282634305.13458,176206767.8133,2020-08-28 00:00:00
101,326498951.78666,155694383.25721,2020-08-29 00:00:00
102,352567016.04485,174794699.84013,2020-08-30 00:00:00
103,348272122.30947,178361060.26598,2020-08-31 00:00:00
104,254885639.72094,120505903.99467,2020-09-01 00:00:00
105,262194346.61133,121748574.72935,2020-09-02 00:00:00
106,260876110.27886,121921716.61292,2020-09-03 00:00:00
107,261859133.32675,133427656.45727,2020-09-04 00:00:00
108,275225455.38326,143971716.30005,2020-09-05 00:00:00
109,265565167.82302,108063686.25143,2020-09-06 00:00:00
110,267282790.66429,122903752.56366,2020-09-07 00:00:00
111,263686413.42604,130008952.44179,2020-09-08 00:00:00
112,258805799.81152,102947226.44654,2020-09-09 00:00:00
113,256119630.2925,86803526.78047,2020-09-10 00:00:00
114,254574102.49035,156444520.06467,2020-09-11 00:00:00
115,228283933.20824,118772979.10282,2020-09-12 00:00:00
116,206186023.87644,109709949.73699,2020-09-13 00:00:00
117,178176599.16713,154367843.05371,2020-09-14 00:00:00
118,148874577.55453,92552225.20317,2020-09-15 00:00:00
119,147673960.53233,61264394.24749,2020-09-16 00:00:00
120,145980978.39077,61966232.76856,2020-09-17 00:00:00
121,114019204.02634,66492816.94776,2020-09-18 00:00:00
122,113113058.40536,51392931.33181,2020-09-19 00:00:00
123,113677814.99837,58553142.6664,2020-09-20 00:00:00
124,121293914.37305,58685125.68274,2020-09-21 00:00:00
125,124844837.25201,80005929.34854,2020-09-22 00:00:00
126,125385288.59027,81539117.05449,2020-09-23 00:00:00
127,201313125.22155,133393469.63257,2020-09-24 00:00:00
128,196527727.60168,126641396.80158,2020-09-25 00:00:00
129,184990318.9336,107669564.46205,2020-09-26 00:00:00
130,162958543.03478,147077973.85473,2020-09-27 00:00:00
131,134107315.57464,214682058.54939,2020-09-28 00:00:00
132,223512491.72688,161426710.32419,2020-09-29 00:00:00
133,231578702.16373,171171445.27466,2020-09-30 00:00:00
134,210107279.50849,141962753.80698,2020-10-01 00:00:00
135,206073185.28275,120703737.87354,2020-10-02 00:00:00
136,200224989.44006,107171781.2699,2020-10-03 00:00:00
137,196994118.01629,99975633.80161,2020-10-04 00:00:00
138,198730223.24473,109452673.37601,2020-10-05 00:00:00
139,156515803.23612,121771737.93013,2020-10-06 00:00:00
140,180356133.22308,128039551.67419,2020-10-07 00:00:00
141,177376905.2579,114104221.51179,2020-10-08 00:00:00
142,165630671.94882,112562102.59393,2020-10-09 00:00:00
143,128640925.41949,108614311.07265,2020-10-10 00:00:00
144,84797488.33737,103208723.91815,2020-10-11 00:00:00
145,67113357.65659,99931375.33906,2020-10-12 00:00:00
146,63388811.35978,104120982.58221,2020-10-13 00:00:00
147,60168055.52954,102394704.06966,2020-10-14 00:00:00
148,45774622.01646,99631305.13325,2020-10-15 00:00:00
149,49530355.0757,100641710.80576,2020-10-16 00:00:00
150,49802054.31261,101244583.96074,2020-10-17 00:00:00
151,49247497.18774,89706645.80009,2020-10-18 00:00:00
152,50221689.52504,73054648.16272,2020-10-19 00:00:00
153,48579495.45082,58645016.47511,2020-10-20 00:00:00
154,2475006.15585,7330508.22891,2020-10-21 00:00:00
155,20568872.47255,44600024.33409,2020-10-22 00:00:00
156,19412222.32013,65709474.8366,2020-10-23 00:00:00
157,49678929.13491,61210286.38705,2020-10-24 00:00:00
158,46649210.36058,56538322.32805,2020-10-25 00:00:00
159,44098617.54946,55445261.92169,2020-10-26 00:00:00
160,20983160.93178,17642461.86778,2020-10-27 00:00:00
161,13955052.2148,8767819.25358,2020-10-28 00:00:00
162,55110746.50156,16365131.02545,2020-10-29 00:00:00
163,51327699.76941,18325383.22645,2020-10-30 00:00:00
164,50080925.61925,30256015.57807,2020-10-31 00:00:00
