,datetime,price,TOTAL_TRADES,TOTAL_TRADES_BUY,TOTAL_TRADES_SELL,NUMBER_OF_CONTRACTS,VOLUME,QUOTE_VOLUME,VOLUME_BUY,QUOTE_VOLUME_BUY,VOLUME_SELL,QUOTE_VOLUME_SELL
0,2023-03-12,0.9845,262819,115006,147813,247898499,247898499,239689442.50063,110952589,107406010.95187,136945910,132283431.54876
1,2023-03-13,0.99519,192625,97869,94756,272970321,272970321,270476519.5543,138553968,137311052.11387,134416353,133165467.44043
2,2023-03-14,0.99623,52152,29601,22551,67778248,67778248,67459486.31117,36144055,35974924.77801,31634193,31484561.53316
3,2023-03-15,0.99615,59609,35108,24501,61588985,61588985,61356774.45105,38098100,37955727.73275,23490885,23401046.7183
4,2023-03-16,0.99683,37181,21067,16114,48581285,48581285,48428658.42056,24555578,24481479.61827,24025707,23947178.80229
5,2023-03-17,0.99725,49664,23935,25729,68073546,68073546,67873189.36202,29827624,29743333.81154,38245922,38129855.55048
6,2023-03-18,0.99657,40509,18393,22116,38843702,38843702,38719628.12627,19290760,19229476.79643,19552942,19490151.32984
7,2023-03-19,0.99634,19177,8356,10821,10921385,10921385,10883397.97176,4805229,4788673.6565,6116156,6094724.31526
8,2023-03-20,0.99591,54988,28862,26126,43141884,43141884,42960011.28099,20701890,20615577.44954,22439994,22344433.83145
9,2023-03-21,0.99645,58807,28937,29870,31164548,31164548,31039244.78888,15774541,15711307.03155,15390007,15327937.75733
10,2023-03-22,0.99663,73396,36107,37289,22145033,22145033,22070383.75536,10647471,10612027.65379,11497562,11458356.10157
11,2023-03-23,0.99732,20432,9302,11130,12870909,12870909,12829202.47375,6259433,6239001.61637,6611476,6590200.85738
12,2023-03-24,0.99826,52017,29721,22296,23177276,23177276,23129630.84707,13651486,13623014.83751,9525790,9506616.00956
13,2023-03-25,0.99856,40252,19450,20802,18385653,18385653,18359229.70318,11109539,11094130.919,7276114,7265098.78418
14,2023-03-26,0.99851,12902,6106,6796,6290602,6290602,6281834.45946,2984470,2980273.52094,3306132,3301560.93852
