,UNIT,TIMESTAMP,TYPE,MARKET,INSTRUMENT,MAPPED_INSTRUMENT,BASE,QUOTE,OPEN,HIGH,LOW,CLOSE,FIRST_TRADE_TIMESTAMP,LAST_TRADE_TIMESTAMP,FIRST_TRADE_PRICE,HIGH_TRADE_PRICE,HIGH_TRADE_TIMESTAMP,LOW_TRADE_PRICE,LOW_TRADE_TIMESTAMP,LAST_TRADE_PRICE,TOTAL_TRADES,TOTAL_TRADES_BUY,TOTAL_TRADES_SELL,TOTAL_TRADES_UNKNOWN,VOLUME,QUOTE_VOLUME,VOLUME_BUY,QUOTE_VOLUME_BUY,VOLUME_SELL,QUOTE_VOLUME_SELL,VOLUME_UNKNOWN,QUOTE_VOLUME_UNKNOWN,datetime
0,DAY,1568937600,954,binance,BUSDUSDT,BUSD-USDT,BUSD,USDT,238.7,306.0963,0.0005,1.0,1568966405.0,1569023095.0,238.7,306.0963,1568966454.0,0.0005,1568966808.0,1.0,407,224,183,0,157497.51,163833.935614,102451.73,107646.69291,55045.78,56187.242704,0,0,2019-09-20
1,DAY,1569024000,954,binance,BUSDUSDT,BUSD-USDT,BUSD,USDT,1.0,1.0,0.9999,0.9999,1569024396.0,1569107184.0,1.0,1.0,1569085152.0,0.9999,1569107184.0,0.9999,217,74,143,0,141274.28,141269.729968,95773.96,95773.96,45500.32,45495.769968,0,0,2019-09-21
2,DAY,1569110400,954,binance,BUSDUSDT,BUSD-USDT,BUSD,USDT,0.9999,1.0001,0.9999,0.9999,1569111039.0,1569190255.0,0.9999,1.0001,1569143951.0,0.9999,1569190255.0,0.9999,61,21,40,0,127966.26,127961.335501,73238.31,73238.805545,54727.95,54722.529956,0,0,2019-09-22
3,DAY,1569196800,954,binance,BUSDUSDT,BUSD-USDT,BUSD,USDT,0.9999,1.0001,0.9999,1.0,1569196851.0,1569282899.0,0.9999,1.0001,1569276666.0,0.9999,1569281965.0,1.0,475,441,34,0,1237537.7,1237537.102718,1223067.7,1223067.7,14470.0,14469.402718,0,0,2019-09-23
4,DAY,1569283200,954,binance,BUSDUSDT,BUSD-USDT,BUSD,USDT,1.0,1.0499,0.9902,0.9997,1569283472.0,1569369306.0,1.0,1.0499,1569351735.0,0.9902,1569354540.0,0.9997,1726,1157,569,0,3394555.76,3396199.404283,2696712.48,2698377.443439,697843.28,697821.960844,0,0,2019-09-24
5,DAY,1569369600,954,binance,BUSDUSDT,BUSD-USDT,BUSD,USDT,0.9997,1.001,0.9942,0.9997,1569369819.0,1569454796.0,0.9997,1.001,1569406755.0,0.9942,1569374694.0,0.9997,511,148,363,0,625266.49,624976.339657,218496.05,218558.133542,406770.44,406418.206115,0,0,2019-09-25
6,DAY,1569456000,954,binance,BUSDUSDT,BUSD-USDT,BUSD,USDT,0.9997,1.0018,0.9997,0.9999,1569456377.0,1569540177.0,1.0,1.0018,1569513356.0,0.9997,1569538525.0,0.9999,341,216,125,0,702098.53,702242.040332,531053.05,531228.175628,171045.48,171013.864704,0,0,2019-09-26
7,DAY,1569542400,954,binance,BUSDUSDT,BUSD-USDT,BUSD,USDT,0.9999,1.0011,0.9991,0.9992,1569546280.0,1569628741.0,0.9999,1.0011,1569572347.0,0.9991,1569613883.0,0.9992,214,119,95,0,240877.53,240867.923921,148218.37,148257.150714,92659.16,92610.773207,0,0,2019-09-27
8,DAY,1569628800,954,binance,BUSDUSDT,BUSD-USDT,BUSD,USDT,0.9992,1.0003,0.998,0.999,1569629228.0,1569713436.0,0.9992,1.0003,1569710981.0,0.998,1569643098.0,0.999,179,67,112,0,145946.64,145821.168491,17331.25,17334.386605,128615.39,128486.781886,0,0,2019-09-28
9,DAY,1569715200,954,binance,BUSDUSDT,BUSD-USDT,BUSD,USDT,0.999,1.0,0.9982,0.9982,1569715220.0,1569798091.0,0.9988,1.0,1569792159.0,0.9982,1569798091.0,0.9982,114,64,50,0,104913.54,104853.335588,63163.35,63162.005095,41750.19,41691.330493,0,0,2019-09-29
10,DAY,1569801600,954,binance,BUSDUSDT,BUSD-USDT,BUSD,USDT,0.9982,1.0003,0.9976,1.0,1569805303.0,1569886364.0,0.9982,1.0003,1569820677.0,0.9976,1569865305.0,1.0,130,72,58,0,346265.17,346118.750069,37937.41,37936.108039,308327.76,308182.64203,0,0,2019-09-30
11,DAY,1569888000,954,binance,BUSDUSDT,BUSD-USDT,BUSD,USDT,1.0,1.0,0.9972,0.9994,1569888021.0,1569973259.0,0.9982,1.0,1569935812.0,0.9972,1569932511.0,0.9994,240,153,87,0,176436.09,176330.599894,134583.62,134569.637154,41852.47,41760.96274,0,0,2019-10-01
12,DAY,1569974400,954,binance,BUSDUSDT,BUSD-USDT,BUSD,USDT,0.9994,0.9999,0.9973,0.9994,1569975620.0,1570059867.0,0.9994,0.9999,1570053560.0,0.9973,1569995945.0,0.9994,105,52,53,0,288582.13,287998.877234,75947.84,75848.313985,212634.29,212150.563249,0,0,2019-10-02
13,DAY,1570060800,954,binance,BUSDUSDT,BUSD-USDT,BUSD,USDT,0.9994,0.9999,0.9972,0.9989,1570060964.0,1570144534.0,0.9994,0.9999,1570134787.0,0.9972,1570077274.0,0.9989,90,46,44,0,252452.7,252001.723898,14656.31,14652.402015,237796.39,237349.321883,0,0,2019-10-03
14,DAY,1570147200,954,binance,BUSDUSDT,BUSD-USDT,BUSD,USDT,0.9989,0.9999,0.9981,0.9982,1570147379.0,1570231136.0,0.9985,0.9999,1570208352.0,0.9981,1570211538.0,0.9982,72,29,43,0,49799.95,49763.818686,9090.67,9089.525827,40709.28,40674.292859,0,0,2019-10-04
15,DAY,1570233600,954,binance,BUSDUSDT,BUSD-USDT,BUSD,USDT,0.9982,0.9999,0.998,0.9982,1570236812.0,1570317774.0,0.9983,0.9999,1570316989.0,0.998,1570246463.0,0.9982,68,28,40,0,50077.93,50021.273548,13063.99,13061.637262,37013.94,36959.636286,0,0,2019-10-05
16,DAY,1570320000,954,binance,BUSDUSDT,BUSD-USDT,BUSD,USDT,0.9982,1.0,0.9977,0.9989,1570321664.0,1570401725.0,0.9981,1.0,1570389134.0,0.9977,1570387076.0,0.9989,143,92,51,0,137304.71,137193.98938,90750.68,90729.043298,46554.03,46464.946082,0,0,2019-10-06
17,DAY,1570406400,954,binance,BUSDUSDT,BUSD-USDT,BUSD,USDT,0.9989,1.0,0.9976,0.9983,1570408095.0,1570492649.0,1.0,1.0,1570485311.0,0.9976,1570454723.0,0.9983,260,68,192,0,284335.94,284045.228526,84515.8,84512.959192,199820.14,199532.269334,0,0,2019-10-07
18,DAY,1570492800,954,binance,BUSDUSDT,BUSD-USDT,BUSD,USDT,0.9983,1.001,0.998,0.9992,1570492811.0,1570576060.0,0.9983,1.001,1570513852.0,0.998,1570500347.0,0.9992,196,59,137,0,432492.16,432386.945021,269318.39,269311.539703,163173.77,163075.405318,0,0,2019-10-08
19,DAY,1570579200,954,binance,BUSDUSDT,BUSD-USDT,BUSD,USDT,0.9992,1.0007,0.9978,0.9989,1570581034.0,1570665554.0,0.9992,1.0007,1570629532.0,0.9978,1570658603.0,0.9989,1056,308,748,0,2689959.75,2690098.95594,2200059.11,2200489.177613,489900.64,489609.778327,0,0,2019-10-09
20,DAY,1570665600,954,binance,BUSDUSDT,BUSD-USDT,BUSD,USDT,0.9989,0.9998,0.9965,0.997,1570666958.0,1570751226.0,0.9976,0.9998,1570732099.0,0.9965,1570741342.0,0.997,278,93,185,0,148428.97,148142.616161,35624.08,35572.452155,112804.89,112570.164006,0,0,2019-10-10
21,DAY,1570752000,954,binance,BUSDUSDT,BUSD-USDT,BUSD,USDT,0.997,1.0,0.997,0.9991,1570752047.0,1570837974.0,0.9978,1.0,1570829285.0,0.997,1570769869.0,0.9991,1825,783,1042,0,1059218.96,1058473.828519,216778.61,216637.91587,842440.35,841835.912649,0,0,2019-10-11
22,DAY,1570838400,954,binance,BUSDUSDT,BUSD-USDT,BUSD,USDT,0.9991,1.0,0.998,0.9992,1570838558.0,1570924690.0,0.9993,1.0,1570877816.0,0.998,1570892537.0,0.9992,1354,482,872,0,1524524.75,1523352.758673,160485.96,160403.539254,1364038.79,1362949.219419,0,0,2019-10-12
23,DAY,1570924800,954,binance,BUSDUSDT,BUSD-USDT,BUSD,USDT,0.9992,0.9999,0.9984,0.9996,1570924866.0,1571011198.0,0.9992,0.9999,1571008429.0,0.9984,1570981022.0,0.9996,1362,523,839,0,1920259.26,1918878.815981,657379.32,656834.748499,1262879.94,1262044.067482,0,0,2019-10-13
24,DAY,1571011200,954,binance,BUSDUSDT,BUSD-USDT,BUSD,USDT,0.9996,0.9999,0.9985,0.9994,1571011245.0,1571097568.0,0.9995,0.9999,1571093411.0,0.9985,1571046241.0,0.9994,1807,829,978,0,2185640.02,2184386.012061,1092892.14,1092248.529572,1092747.88,1092137.482489,0,0,2019-10-14
25,DAY,1571097600,954,binance,BUSDUSDT,BUSD-USDT,BUSD,USDT,0.9994,1.0006,0.9992,1.0003,1571097627.0,1571183944.0,0.9994,1.0006,1571176137.0,0.9992,1571099855.0,1.0003,1591,662,929,0,3028583.17,3028131.683386,1347065.29,1346754.718794,1681517.88,1681376.964592,0,0,2019-10-15
26,DAY,1571184000,954,binance,BUSDUSDT,BUSD-USDT,BUSD,USDT,1.0003,1.0011,0.9997,1.0,1571184064.0,1571270138.0,1.0002,1.0011,1571228570.0,0.9997,1571189236.0,1.0,2701,1274,1427,0,8195713.67,8197524.140135,2914816.17,2915601.41665,5280897.5,5281922.723485,0,0,2019-10-16
27,DAY,1571270400,954,binance,BUSDUSDT,BUSD-USDT,BUSD,USDT,1.0,1.0005,0.9994,0.9995,1571270410.0,1571356730.0,1.0001,1.0005,1571282535.0,0.9994,1571321554.0,0.9995,1947,997,950,0,9330621.75,9330284.437812,6301904.42,6301800.959343,3028717.33,3028483.478469,0,0,2019-10-17
28,DAY,1571356800,954,binance,BUSDUSDT,BUSD-USDT,BUSD,USDT,0.9995,1.0002,0.9995,0.9997,1571356827.0,1571443194.0,0.9995,1.0002,1571400068.0,0.9995,1571413638.0,0.9997,4899,1806,3093,0,9477960.17,9476438.822298,5278698.25,5278042.42048,4199261.92,4198396.401818,0,0,2019-10-18
29,DAY,1571443200,954,binance,BUSDUSDT,BUSD-USDT,BUSD,USDT,0.9997,1.0,0.9991,0.9997,1571443257.0,1571529570.0,0.9996,1.0,1571526663.0,0.9991,1571508647.0,0.9997,8117,2987,5130,0,10736113.26,10730865.870513,6111441.07,6108621.876061,4624672.19,4622243.994452,0,0,2019-10-19
30,DAY,1571529600,954,binance,BUSDUSDT,BUSD-USDT,BUSD,USDT,0.9997,1.0001,0.9986,0.9989,1571529614.0,1571615999.0,0.9997,1.0001,1571595664.0,0.9986,1571615867.0,0.9989,9182,3333,5849,0,8814488.48,8809822.403627,4766119.22,4763852.842423,4048369.26,4045969.561204,0,0,2019-10-20
31,DAY,1571616000,954,binance,BUSDUSDT,BUSD-USDT,BUSD,USDT,0.9989,0.9995,0.998,0.9983,1571616005.0,1571702399.0,0.999,0.9995,1571671715.0,0.998,1571695008.0,0.9983,8850,2931,5919,0,1996315.96,1994299.747273,625664.39,625118.437573,1370651.57,1369181.3097,0,0,2019-10-21
32,DAY,1571702400,954,binance,BUSDUSDT,BUSD-USDT,BUSD,USDT,0.9983,0.9997,0.9982,0.9993,1571702402.0,1571788791.0,0.9982,0.9997,1571731365.0,0.9982,1571774576.0,0.9993,9179,3919,5260,0,2095484.13,2093373.439874,967300.87,966400.386218,1128183.26,1126973.053656,0,0,2019-10-22
33,DAY,1571788800,954,binance,BUSDUSDT,BUSD-USDT,BUSD,USDT,0.9993,1.0006,0.999,0.9998,1571788804.0,1571875199.0,0.9992,1.0006,1571846611.0,0.999,1571800613.0,0.9998,14297,6144,8153,0,4033440.04,4033129.332713,2164858.87,2164881.412341,1868581.17,1868247.920372,0,0,2019-10-23
34,DAY,1571875200,954,binance,BUSDUSDT,BUSD-USDT,BUSD,USDT,0.9998,1.0,0.9985,0.9986,1571875200.0,1571961557.0,0.9998,1.0,1571894836.0,0.9985,1571961014.0,0.9986,14649,2769,11880,0,2853289.93,2851473.020898,776382.21,775990.81283,2076907.72,2075482.208068,0,0,2019-10-24
35,DAY,1571961600,954,binance,BUSDUSDT,BUSD-USDT,BUSD,USDT,0.9986,1.0,0.9974,0.9986,1571961601.0,1572047987.0,0.9986,1.0,1572023903.0,0.9974,1572019029.0,0.9986,24504,9177,15327,0,6330503.7,6324059.124196,2744315.98,2741937.592494,3586187.72,3582121.531702,0,0,2019-10-25
36,DAY,1572048000,954,binance,BUSDUSDT,BUSD-USDT,BUSD,USDT,0.9986,1.0,0.9912,0.9989,1572048003.0,1572134397.0,0.9987,1.0,1572053144.0,0.9912,1572055666.0,0.9989,33138,13281,19857,0,11785935.45,11769093.743826,5246144.96,5239606.558783,6539790.49,6529487.185043,0,0,2019-10-26
37,DAY,1572134400,954,binance,BUSDUSDT,BUSD-USDT,BUSD,USDT,0.9989,0.9991,0.9967,0.9977,1572134408.0,1572220792.0,0.9987,0.9991,1572135872.0,0.9967,1572216361.0,0.9977,20686,8456,12230,0,6708005.67,6695461.935265,2895226.91,2890211.901758,3812778.76,3805250.033507,0,0,2019-10-27
38,DAY,1572220800,954,binance,BUSDUSDT,BUSD-USDT,BUSD,USDT,0.9977,0.9988,0.9966,0.9979,1572220981.0,1572307198.0,0.998,0.9988,1572263318.0,0.9966,1572227375.0,0.9979,24836,10337,14499,0,5753940.81,5741989.382973,2377289.62,2372524.242555,3376651.19,3369465.140418,0,0,2019-10-28
39,DAY,1572307200,954,binance,BUSDUSDT,BUSD-USDT,BUSD,USDT,0.9979,0.9997,0.9976,0.9985,1572307210.0,1572393572.0,0.9978,0.9997,1572345808.0,0.9976,1572384708.0,0.9985,25007,8367,16640,0,7098591.82,7090665.249028,2934172.1,2931122.743304,4164419.72,4159542.505724,0,0,2019-10-29
40,DAY,1572393600,954,binance,BUSDUSDT,BUSD-USDT,BUSD,USDT,0.9985,1.0,0.998,0.9993,1572393605.0,1572479955.0,0.9985,1.0,1572456396.0,0.998,1572396894.0,0.9993,12342,5351,6991,0,5896083.18,5892087.053611,2874971.18,2873183.598451,3021112.0,3018903.45516,0,0,2019-10-30
