,datetime,price,TOTAL_TRADES,TOTAL_TRADES_BUY,TOTAL_TRADES_SELL,VOLUME,QUOTE_VOLUME,VOLUME_BUY,QUOTE_VOLUME_BUY,VOLUME_SELL,QUOTE_VOLUME_SELL
0,2018-12-15,1.0114,1054,415,639,542413.15,548254.159555,161835.06,163755.475699,380578.09,384498.683856
1,2018-12-16,1.0085,1185,427,758,809006.95,817617.511095,304100.0,307638.74842,504906.95,509978.762675
2,2018-12-17,1.0015,4360,1167,3193,2625605.2,2638744.084533,573582.32,577434.344042,2052022.88,2061309.740491
3,2018-12-18,0.9978,5308,1714,3594,2302982.45,2304767.452813,635173.84,637072.950453,1667808.61,1667694.50236
4,2018-12-19,0.9955,9876,3583,6293,4168790.46,4150150.337536,1497207.71,1492301.697083,2671582.75,2657848.640453
5,2018-12-20,0.9945,11861,5166,6695,5903777.54,5853505.109297,2194496.93,2179010.498729,3709280.61,3674494.610568
6,2018-12-21,0.999,12710,4970,7740,4410201.11,4388409.969787,1676310.29,1670207.218939,2733890.82,2718202.750848
7,2018-12-22,0.9919,7137,2522,4615,2751177.14,2745217.963477,861213.19,860130.057614,1889963.95,1885087.905863
8,2018-12-23,0.9966,6993,3629,3364,2919725.39,2900873.744717,1438489.64,1430415.924648,1481235.75,1470457.820069
9,2018-12-24,0.9947,12530,5898,6632,5063566.79,5026043.882078,2406971.11,2392310.0808,2656595.68,2633733.801278
10,2018-12-25,0.9907,11482,4826,6656,4065641.93,4040902.451069,1905904.32,1896889.510201,2159737.61,2144012.940868
11,2018-12-26,0.9911,8726,3968,4758,3239177.24,3212050.854999,1427761.67,1416856.537455,1811415.57,1795194.317544
12,2018-12-27,0.993,7042,2559,4483,2607066.35,2590199.754293,868597.04,863787.962549,1738469.31,1726411.791744
13,2018-12-28,0.9885,5727,2332,3395,2741673.87,2712386.912847,1038069.68,1027587.500393,1703604.19,1684799.412454
14,2018-12-29,0.99,5751,2938,2813,2344804.37,2313948.966353,1134578.75,1120593.933114,1210225.62,1193355.033239
15,2018-12-30,0.9933,5405,3172,2233,2327428.08,2308658.45555,1431318.72,1420497.882606,896109.36,888160.572944
16,2018-12-31,1.0023,5649,3029,2620,2517226.72,2505493.792124,1412737.46,1407433.586729,1104489.26,1098060.205395
17,2019-01-01,0.9931,4333,1772,2561,1713573.21,1712246.777955,722590.22,722654.114439,990982.99,989592.663516
18,2019-01-02,0.9925,5277,2368,2909,2234224.25,2220411.48799,979213.69,974035.849209,1255010.56,1246375.638781
19,2019-01-03,0.995,6106,3418,2688,2803713.34,2782859.258086,1958588.55,1944686.071951,845124.79,838173.186135
20,2019-01-04,0.9926,6390,1761,4629,2850109.22,2831667.573838,697052.38,693290.975617,2153056.84,2138376.598221
21,2019-01-05,0.9933,5026,2276,2750,2276490.65,2256421.685101,897910.83,890624.255614,1378579.82,1365797.429487
22,2019-01-06,0.9885,4552,2123,2429,1805023.27,1788749.912695,768823.24,762593.195989,1036200.03,1026156.716706
23,2019-01-07,0.9922,4567,2309,2258,1844381.99,1826525.862736,863192.69,855260.966653,981189.3,971264.896083
24,2019-01-08,0.9908,5002,1934,3068,2449157.14,2428393.342693,828399.44,821901.783711,1620757.7,1606491.558982
25,2019-01-09,0.9922,7757,2656,5101,2687865.2,2665005.337316,783926.34,777757.493826,1903938.86,1887247.84349
26,2019-01-10,0.9885,19750,6882,12868,7806326.47,7724271.732057,2374135.15,2350981.891647,5432191.32,5373289.84041
27,2019-01-11,0.9918,12006,2952,9054,5117171.06,5057611.894463,1151128.52,1138338.425393,3966042.54,3919273.46907
28,2019-01-12,0.9897,6694,2251,4443,2719601.73,2689236.663525,784928.12,777029.810683,1934673.61,1912206.852842
29,2019-01-13,0.9902,4800,2148,2652,1890391.38,1871589.217949,1051983.12,1042126.937736,838408.26,829462.280213
30,2019-01-14,0.9889,6582,2048,4534,2601431.04,2574085.157802,696646.38,689900.54632,1904784.66,1884184.611482
31,2019-01-15,0.9918,6922,1747,5175,4396766.06,4353303.720118,1005699.22,996614.818799,3391066.84,3356688.901319
32,2019-01-16,0.9947,4868,1796,3072,2249964.25,2235433.377538,689851.76,685714.227426,1560112.49,1549719.150112
33,2019-01-17,0.9949,5698,1260,4438,2663793.63,2650863.561281,716704.37,713905.597701,1947089.26,1936957.96358
34,2019-01-18,0.9977,5702,2097,3605,2815694.38,2800916.781159,529591.24,527504.400719,2286103.14,2273412.38044
