,datetime,fundingRate,price_spot,volume_spot,price_perps,volume_perps
0,2023-02-14,3.1667400000000003,0.9995,10830328.87,0.9991,4675642.2000000002
1,2023-06-11,-21.54668,0.9996,14737458.78,0.9981,428597.3
2,2023-06-12,-21.74232,1,21371699.02,0.9988,500109.6
3,2023-06-13,-33.952664999999996,1.0002,21699754.1,0.999,93810.3
4,2023-06-14,-9.996985,1.0002,20925399.22,0.9993,452447.8
5,2023-06-15,2.486745,1.001,65969315.49,1.0001,616115.1
6,2023-06-16,-1.2844349999999998,1.0006,17715736.79,0.9998,179459
7,2023-06-17,2.934235,1.0004,13300600.27,1.0003,61804.7
8,2023-06-18,9.97034,1.0003,12149516.27,0.9995,27953
9,2023-06-19,0.062050000000000514,1.0003,18496149.86,0.9995,74342.6
10,2023-06-20,4.9786,0.9998,31417041.01,0.9995,303803.9
11,2023-06-21,9.6506,0.9999,55561366.07,0.9997,537644.3
12,2023-06-22,10.379869999999999,0.9998,73692908.2,0.9992,144082.9
13,2023-06-23,-0.015329999999999977,0.9994,64193525.84,0.9993,391064.4
14,2023-06-24,10.950000000000001,0.9994,43315628.51,0.9993,175328.1
15,2023-06-25,9.716665,0.9996,41856537.22,0.9995,144016.8
16,2023-06-26,6.95252,0.9998,92404954.71,0.999,129763.5
17,2023-06-27,9.45715,0.9999,85584359.75,0.9995,142181.5
18,2023-06-28,3.9109749999999996,1.0001,73413238.19,0.9993,122618.2
19,2023-06-29,-2.4144750000000004,1.0001,46635921.91,0.9993,111587.3
20,2023-06-30,1.77171,1.0002,216308363.07,0.9993,162654.7
21,2023-07-01,7.801145000000001,1.0001,162021364.1,0.9992,62711.1
22,2023-07-02,4.150415000000001,1.0001,26963748.66,0.9994,74353.1
23,2023-07-03,-7.726320000000002,1,42723521.7,0.9994,131788.6
24,2023-07-04,-4.99612,0.9999,32680975.35,0.9992,55847.6
25,2023-07-05,-1.95494,1,58545622.2,0.9992,64013.5
26,2023-07-06,-7.503305,1,59615491.14,0.9992,227825.9
