,timestamp,tvlUsd,apy,apyBase,apyReward,il7d,apyBase7d,datetime
0,2022-07-06T00:00:00.000Z,84024332,1.15057,,,,,2022-07-06
1,2022-07-07T00:00:00.000Z,84639403,1.1502,,,,,2022-07-07
2,2022-07-08T00:00:00.000Z,84116320,1.15648,,,,,2022-07-08
3,2022-07-09T00:00:00.000Z,83384416,1.16403,,,,,2022-07-09
4,2022-07-10T00:00:00.000Z,84357905,1.12994,,,,,2022-07-10
5,2022-07-11T00:00:00.000Z,76129218,1.22517,,,,,2022-07-11
6,2022-07-12T00:00:00.000Z,75458769,1.22567,,,,,2022-07-12
7,2022-07-13T00:00:00.000Z,75032333,1.2567,,,,,2022-07-13
8,2022-07-14T00:00:00.000Z,75983838,1.25496,,,,,2022-07-14
9,2022-07-15T00:00:00.000Z,76013456,1.25875,,,,,2022-07-15
10,2022-07-16T00:00:00.000Z,76184457,1.26054,,,,,2022-07-16
11,2022-07-17T00:00:00.000Z,75451257,1.26222,,,,,2022-07-17
12,2022-07-18T00:00:00.000Z,71455066,1.36411,,,,,2022-07-18
13,2022-07-19T00:00:00.000Z,69481355,1.42347,,,,,2022-07-19
14,2022-07-20T00:00:00.000Z,70373073,1.3828,,,,,2022-07-20
15,2022-07-21T00:00:00.000Z,68761143,1.41779,,,,,2022-07-21
16,2022-07-22T00:00:00.000Z,69540789,1.39765,,,,,2022-07-22
17,2022-07-23T00:00:00.000Z,65860558,1.52836,,,,,2022-07-23
18,2022-07-24T00:00:00.000Z,66427741,1.51446,,,,,2022-07-24
19,2022-07-25T00:00:00.000Z,65481738,1.53317,,,,,2022-07-25
20,2022-07-26T00:00:00.000Z,65114117,1.52149,,,,,2022-07-26
21,2022-07-27T00:00:00.000Z,65192924,1.54836,,,,,2022-07-27
22,2022-07-28T00:00:00.000Z,64208269,1.60322,,,,,2022-07-28
23,2022-07-29T00:00:00.000Z,65320666,1.72169,,,,,2022-07-29
24,2022-07-30T00:00:00.000Z,63390444,1.70346,,,,,2022-07-30
25,2022-07-31T00:00:00.000Z,63826084,1.68332,,,,,2022-07-31
26,2022-08-01T00:00:00.000Z,64418047,1.62794,,,,,2022-08-01
27,2022-08-02T00:00:00.000Z,63704821,1.66283,,,,,2022-08-02
28,2022-08-03T00:00:00.000Z,63483694,1.65808,,,,,2022-08-03
29,2022-08-04T00:00:00.000Z,63562429,1.64985,,,,,2022-08-04
30,2022-08-05T00:00:00.000Z,62563610,1.69566,,,,,2022-08-05
31,2022-08-06T00:00:00.000Z,62472524,1.71525,,,,,2022-08-06
32,2022-08-07T00:00:00.000Z,63420092,1.70047,,,,,2022-08-07
33,2022-08-08T00:00:00.000Z,66616156,1.62028,,,,,2022-08-08
34,2022-08-09T00:00:00.000Z,65423616,1.62582,,,,,2022-08-09
35,2022-08-10T00:00:00.000Z,64654992,1.65949,,,,,2022-08-10
36,2022-08-11T00:00:00.000Z,63186468,1.69661,,,,,2022-08-11
37,2022-08-12T00:00:00.000Z,63204444,1.69553,,,,,2022-08-12
38,2022-08-13T00:00:00.000Z,62547430,1.73052,,,,,2022-08-13
39,2022-08-14T00:00:00.000Z,55147139,1.91823,1.30164,0.61659,,,2022-08-14
40,2022-08-15T00:00:00.000Z,56571131,1.86956,1.2701,0.59946,,,2022-08-15
41,2022-08-16T00:00:00.000Z,55596988,1.86075,1.29402,0.56673,,,2022-08-16
