,circulating_Ethereum,minted_Ethereum,datetime,circulating_Polygon,minted_Polygon,circulating_BSC,minted_BSC
0,11916379212.203764,16788031738.23,2022-05-12,1075944.1218482377,0,4809827507.55003,0
1,12251948747.812,17123221507.91,2022-05-13,1104729.9248643278,0,4810756013.736237,0
2,12741057254.254282,17612345359.05,2022-05-14,1089706.2675098877,0,4811076459.237796,0
3,12864592137.178825,17735417602.14,2022-05-15,1086997.8494099379,0,4811434080.22582,0
4,12865052891.241684,17735417602.14,2022-05-16,1087226.257132072,0,4810539260.245183,0
5,13127910594.173208,17998075045.82,2022-05-17,1087381.7979259512,0,4814348287.0442505,0
6,13324157316.351002,18194582217.73,2022-05-18,1087250.832111272,0,4813331368.176683,0
7,13542187219.127066,18412508586.010002,2022-05-19,1086010.892647762,0,4813083911.101668,0
8,13678240624.101543,18548599503.829998,2022-05-20,1086180.5656327724,0,4811680448.413585,0
9,13691899544.561533,18562253947.45,2022-05-21,1087316.1305136024,0,4810169384.698114,0
10,13691969987.405642,18562253947.45,2022-05-22,1086560.4211367425,0,4810158449.180622,0
11,13647447741.79328,18517729237.969997,2022-05-23,1083177.6680689824,0,4810316347.06744,0
12,13453490657.396664,18323709027.82,2022-05-24,1084877.2039107925,0,4809584613.957804,0
13,13445929975.220545,18316126872.58,2022-05-25,1085322.0826574925,0,4810404800.031227,0
14,13591161909.042452,18461208566.789997,2022-05-26,1083316.6289817337,0,4809516679.103428,0
15,13364229872.408855,18234400951.51,2022-05-27,1081219.8653252237,0,4810466819.073093,0
16,13278744367.230917,18148906353.39,2022-05-28,1081692.6605013937,0,4811551292.699379,0
17,13297036320.845604,18167184473.74,2022-05-29,1081585.8090092526,0,4810843960.067434,0
18,13100167353.110022,17970184509.74,2022-05-30,1081867.1184191424,0,4810768637.482396,0
19,13100602283.548834,17970184509.74,2022-05-31,1081990.5625267325,0,4812021828.81243,0
20,13330424917.909704,18199987674.51,2022-06-01,1083710.8582314923,0,4811861321.287587,0
21,13267711097.226955,18137033179.86,2022-06-02,1087354.6126470123,0,4812075887.554488,0
22,13198463768.825953,18067916374.45,2022-06-03,1087441.6445186425,0,4811109207.931738,0
23,13179926459.113968,18049494760.77,2022-06-04,1088391.4062321333,0,4810814691.437269,0
