,datetime,price,TOTAL_TRADES,TOTAL_TRADES_BUY,TOTAL_TRADES_SELL,NUMBER_OF_CONTRACTS,VOLUME,QUOTE_VOLUME,VOLUME_BUY,QUOTE_VOLUME_BUY,VOLUME_SELL,QUOTE_VOLUME_SELL
0,2022-09-12,0.9998,609,120,489,706280,70646.1,70631.17032,34607.9,34601.91354,36038.2,36029.25678
1,2022-09-13,0.9993,1062,140,922,1354366,135465.3,135417.60395,65377.0,65377.44183,70088.3,70040.16212
2,2022-09-14,0.9994,868,36,832,128474,12875.5,12867.30792,2786.7,2785.0809,10088.8,10082.22702
3,2022-09-15,0.9997,954,79,875,486691,48698.1,48669.58643,18962.5,18952.26659,29735.6,29717.31984
4,2022-09-16,0.9997,1470,352,1118,2292433,229288.0,229210.62252,113184.3,113169.94754,116103.7,116040.67498
5,2022-09-17,0.9997,1052,122,930,414302,41459.7,41449.27984,20177.5,20173.4645,21282.2,21275.81534
6,2022-09-18,0.9994,1239,222,1017,1148599,114895.8,114857.76284,55352.2,55340.94217,59543.6,59516.82067
7,2022-09-19,0.9994,120,12,108,62453,6248.3,6245.91073,3283.2,3282.58975,2965.1,2963.32098
8,2022-09-20,0.9994,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
9,2022-09-21,0.9994,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
10,2022-09-22,0.9994,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
11,2022-09-23,0.9994,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
12,2022-09-24,0.9994,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
13,2022-09-25,0.9994,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
14,2022-09-26,0.9994,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
15,2022-09-27,0.9994,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
16,2022-09-28,0.9994,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
17,2022-09-29,0.9995,294,16,278,80734,8081.2,8077.53897,1560.4,1559.77708,6520.8,6517.76189
18,2022-09-30,0.9995,1251,233,1018,281040,28149.7,28135.68015,7975.4,7971.92998,20174.3,20163.75017
19,2022-10-01,0.9995,1124,168,956,403825,40414.4,40399.01689,19600.5,19594.26148,20813.9,20804.75541
20,2022-10-02,0.9994,908,67,841,335780,33604.5,33588.07534,5737.9,5735.3224,27866.6,27852.75294
21,2022-10-03,0.9997,1251,243,1008,314303,31459.6,31454.74876,27343.2,27339.93258,4116.4,4114.81618
22,2022-10-04,0.9997,1340,282,1058,456668,45703.0,45697.693,35670.0,35666.92477,10033.0,10030.76823
23,2022-10-05,0.9995,1306,258,1048,724913,72528.5,72512.78129,38288.7,38282.09427,34239.8,34230.68702
