,UNIT,TIMESTAMP,TYPE,MARKET,INSTRUMENT,MAPPED_INSTRUMENT,INDEX_UNDERLYING,QUOTE_CURRENCY,SETTLEMENT_CURRENCY,CONTRACT_CURRENCY,INTERVAL_MS,OPEN,HIGH,LOW,CLOSE,TOTAL_FUNDING_RATE_UPDATES,FIRST_MESSAGE_TIMESTAMP,LAST_MESSAGE_TIMESTAMP,FIRST_MESSAGE_VALUE,HIGH_MESSAGE_VALUE,HIGH_MESSAGE_TIMESTAMP,LOW_MESSAGE_VALUE,LOW_MESSAGE_TIMESTAMP,LAST_MESSAGE_VALUE,datetime
0,HOUR,1695949200,934,bybit,USDCUSDT,USDC-USDT-VANILLA-PERPETUAL,USDC,USDT,USDT,USDC,28800000,0.0001577,0.0001577,0.0001577,0.0001577,0,,,,,,,,,2023-09-29
1,HOUR,1695952800,934,bybit,USDCUSDT,USDC-USDT-VANILLA-PERPETUAL,USDC,USDT,USDT,USDC,28800000,0.0001577,0.0001577,0.0001577,0.0001577,0,,,,,,,,,2023-09-29
2,HOUR,1695956400,934,bybit,USDCUSDT,USDC-USDT-VANILLA-PERPETUAL,USDC,USDT,USDT,USDC,28800000,0.0001577,0.0001577,0.0001577,0.0001577,0,,,,,,,,,2023-09-29
3,HOUR,1695960000,934,bybit,USDCUSDT,USDC-USDT-VANILLA-PERPETUAL,USDC,USDT,USDT,USDC,28800000,0.0001577,0.0001577,0.0001577,0.0001577,0,,,,,,,,,2023-09-29
4,HOUR,1695963600,934,bybit,USDCUSDT,USDC-USDT-VANILLA-PERPETUAL,USDC,USDT,USDT,USDC,28800000,0.0001577,0.0001577,0.0001577,0.0001577,0,,,,,,,,,2023-09-29
5,HOUR,1695967200,934,bybit,USDCUSDT,USDC-USDT-VANILLA-PERPETUAL,USDC,USDT,USDT,USDC,28800000,0.0001577,0.0001577,0.0001577,0.0001577,0,,,,,,,,,2023-09-29
6,HOUR,1695970800,934,bybit,USDCUSDT,USDC-USDT-VANILLA-PERPETUAL,USDC,USDT,USDT,USDC,28800000,0.0001577,0.0001577,0.0001577,0.0001577,0,,,,,,,,,2023-09-29
7,HOUR,1695974400,934,bybit,USDCUSDT,USDC-USDT-VANILLA-PERPETUAL,USDC,USDT,USDT,USDC,28800000,0.0001577,0.0001577,0.0,0.0,1,1695974400.0,1695974400.0,0.0,0.0,1695974400.0,0.0,1695974400.0,0.0,2023-09-29
8,HOUR,1695978000,934,bybit,USDCUSDT,USDC-USDT-VANILLA-PERPETUAL,USDC,USDT,USDT,USDC,28800000,0.0,0.0,0.0,0.0,0,,,,,,,,,2023-09-29
9,HOUR,1695981600,934,bybit,USDCUSDT,USDC-USDT-VANILLA-PERPETUAL,USDC,USDT,USDT,USDC,28800000,0.0,0.0,0.0,0.0,0,,,,,,,,,2023-09-29
