,UNIT,TIMESTAMP,TYPE,MARKET,INSTRUMENT,MAPPED_INSTRUMENT,BASE,QUOTE,OPEN,HIGH,LOW,CLOSE,FIRST_TRADE_TIMESTAMP,LAST_TRADE_TIMESTAMP,FIRST_TRADE_PRICE,HIGH_TRADE_PRICE,HIGH_TRADE_TIMESTAMP,LOW_TRADE_PRICE,LOW_TRADE_TIMESTAMP,LAST_TRADE_PRICE,TOTAL_TRADES,TOTAL_TRADES_BUY,TOTAL_TRADES_SELL,TOTAL_TRADES_UNKNOWN,VOLUME,QUOTE_VOLUME,VOLUME_BUY,QUOTE_VOLUME_BUY,VOLUME_SELL,QUOTE_VOLUME_SELL,VOLUME_UNKNOWN,QUOTE_VOLUME_UNKNOWN,datetime
0,DAY,1620086400,954,coinbase,USDT-USD,USDT-USD,USDT,USD,1.002,1.003,0.999,1.0006,1620091417,1620172799,1.002,1.003,1620091417,0.999,1620153207,1.0006,26087,7421,18666,0,21053450.93,21067914.679549,10961309.61,10968729.254204,10092141.32,10099185.425345,0,0,2021-05-04
1,DAY,1620172800,954,coinbase,USDT-USD,USDT-USD,USDT,USD,1.0006,1.002,0.9997,1.0013,1620172800,1620259196,1.0006,1.002,1620248438,0.9997,1620175319,1.0013,43688,13224,30464,0,40170830.16,40203590.541009,20396798.57,20412184.437772,19774031.59,19791406.103237,0,0,2021-05-05
2,DAY,1620259200,954,coinbase,USDT-USD,USDT-USD,USDT,USD,1.0013,1.002,1.0004,1.0009,1620259207,1620345599,1.0013,1.002,1620321362,1.0004,1620331166,1.0009,51174,15390,35784,0,51122898.1,51175175.873124,26813828.74,26839719.571901,24309069.36,24335456.301223,0,0,2021-05-06
3,DAY,1620345600,954,coinbase,USDT-USD,USDT-USD,USDT,USD,1.0009,1.0018,1.0,1.0011,1620345600,1620431999,1.0008,1.0018,1620396403,1.0,1620357646,1.0011,48729,14684,34045,0,44247619.59,44293836.840656,20539139.12,20559789.447528,23708480.47,23734047.393128,0,0,2021-05-07
4,DAY,1620432000,954,coinbase,USDT-USD,USDT-USD,USDT,USD,1.0011,1.0022,1.0009,1.0016,1620432000,1620518399,1.001,1.0022,1620507884,1.0009,1620470423,1.0016,50140,12607,37533,0,26972741.16,27012382.918589,9963268.52,9977512.180093,17009472.64,17034870.738496,0,0,2021-05-08
5,DAY,1620518400,954,coinbase,USDT-USD,USDT-USD,USDT,USD,1.0016,1.0023,0.9997,1.001,1620518402,1620604799,1.0016,1.0023,1620520514,0.9997,1620562384,1.001,50982,16898,34084,0,36857015.9,36897524.666317,16317220.42,16334302.520833,20539795.48,20563222.145484,0,0,2021-05-09
6,DAY,1620604800,954,coinbase,USDT-USD,USDT-USD,USDT,USD,1.001,1.0021,0.9999,1.001,1620604804,1620691199,1.0009,1.0021,1620683874,0.9999,1620687880,1.001,88211,32715,55496,0,88824408.17,88926523.084573,41205268.92,41250256.547196,47619139.25,47676266.537377,0,0,2021-05-10
7,DAY,1620691200,954,coinbase,USDT-USD,USDT-USD,USDT,USD,1.001,1.0018,0.9995,1.0012,1620691201,1620777598,1.001,1.0018,1620772474,0.9995,1620698628,1.0012,70328,22119,48209,0,61422915.36,61478541.121933,29774913.29,29800003.312697,31648002.07,31678537.809236,0,0,2021-05-11
8,DAY,1620777600,954,coinbase,USDT-USD,USDT-USD,USDT,USD,1.0012,1.0019,0.999,0.9993,1620777600,1620863999,1.0013,1.0019,1620792994,0.999,1620863998,0.9993,66142,23192,42950,0,58186731.35,58247139.043193,27049361.91,27077351.893959,31137369.44,31169787.149234,0,0,2021-05-12
9,DAY,1620864000,954,coinbase,USDT-USD,USDT-USD,USDT,USD,0.9993,1.0023,0.998,1.0002,1620864000,1620950399,0.9991,1.0023,1620867082,0.998,1620865237,1.0002,72571,29723,42848,0,73622586.21,73675226.232379,37676796.59,37702033.72877,35945789.62,35973192.503609,0,0,2021-05-13
10,DAY,1620950400,954,coinbase,USDT-USD,USDT-USD,USDT,USD,1.0002,1.015,0.9996,1.0011,1620950405,1621036796,1.0002,1.015,1620964879,0.9996,1620951863,1.0011,54887,19843,35044,0,50371381.77,50433739.599972,20906092.51,20930450.439269,29465289.26,29503289.160703,0,0,2021-05-14
11,DAY,1621036800,954,coinbase,USDT-USD,USDT-USD,USDT,USD,1.0011,1.0015,1.0,1.0004,1621036802,1621123199,1.0012,1.0015,1621106769,1.0,1621092831,1.0004,46683,19439,27244,0,41589044.06,41627572.826556,20279632.71,20297737.803362,21309411.35,21329835.023194,0,0,2021-05-15
