,datetime,usdt_mcap,usdc_mcap,busd_mcap
0,2021-12-26,78082501156.49654,42562441813.357704,14858901332.136488
1,2021-12-27,78137948111.21103,42453109634.90598,14881256264.98104
2,2021-12-28,78035844533.15807,42127140808.90461,15040754461.39379
3,2021-12-29,78185516708.31612,42155697582.15351,15090590137.314367
4,2021-12-30,78072057579.75955,42097583288.686005,14756037571.164011
5,2021-12-31,78441569755.0627,42428767390.304565,14720343026.36494
6,2022-01-01,78396945715.20705,42213673134.9147,14450959879.658882
7,2022-01-02,78778422990.22394,42549565817.75962,14471018731.106121
8,2022-01-03,78481342990.46407,42641327348.74218,14464040666.334743
9,2022-01-04,78388221317.46565,42687912490.5371,14419913923.050034
10,2022-01-05,78502373120.63478,42785333024.44881,14399024749.720123
11,2022-01-06,78772213379.47408,42961099325.70612,14394261306.460747
12,2022-01-07,78639572254.37476,43225368240.15702,14419990349.905964
13,2022-01-08,78498478179.95493,39844918409.29048,14213953634.31789
14,2022-01-09,78296609765.25183,43582658994.91449,14200668146.11109
15,2022-01-10,78054241928.21689,43635931591.69924,14008098153.097958
16,2022-01-11,78481657326.50516,43987565688.15121,14050442238.460571
17,2022-01-12,78555065237.06415,44166089916.662315,14059821583.10452
18,2022-01-13,78482021769.54866,44774203526.21966,14195208054.767183
19,2022-01-14,78355483482.74783,45035577584.440956,14273514881.837122
20,2022-01-15,78464443412.05641,45137094665.70976,14336246113.935163
21,2022-01-16,78324639022.77094,45237354153.388405,14414399870.630056
22,2022-01-17,78423364533.0672,45430902660.27327,14440314115.969944
23,2022-01-18,78444685549.6485,45637274266.762535,14316130573.921768
24,2022-01-19,78383467334.16917,45764592269.25616,14203101074.685732
25,2022-01-20,78380618748.3185,46058070986.19169,14344587717.022348
26,2022-01-21,78282598756.5387,46428142403.76347,14302377350.404043
27,2022-01-22,78144826788.17023,42732777581.513245,14253610213.717762
28,2022-01-23,78448336904.83098,43399887532.39705,14304261492.056204
29,2022-01-24,78310182894.22586,47960656737.772736,14061920964.567593
30,2022-01-25,78669518055.59192,48227447406.202385,14175392385.98402
31,2022-01-26,78269272661.22821,48751308899.79404,14328868107.093153
32,2022-01-27,78752828371.71567,49162186989.71518,14611371275.303806
33,2022-01-28,78718773465.92612,49593244049.71856,14905076158.667685
34,2022-01-29,78249351192.82198,49629722995.59269,14950166499.586414
35,2022-01-30,78366901630.80772,49822470987.56192,14949758505.672586
36,2022-01-31,78198382292.98561,49794511800.566795,14995965055.068604
37,2022-02-01,78062781790.12593,49918615203.60159,15325982863.15292
38,2022-02-02,78016936424.95024,50255165741.575584,15501861826.181278
39,2022-02-03,78038075903.61313,50530744243.18998,15782661605.839424
40,2022-02-04,78064010105.8155,50891956574.40201,16193513807.227594
41,2022-02-05,78063205577.46619,51126955862.93852,16495493825.127625
42,2022-02-06,78062854577.88782,51125781968.731285,16552888312.1535
43,2022-02-07,78163472783.75064,51171401396.28452,16586684697.523617
44,2022-02-08,78096593702.1292,51376105825.93998,16824848235.415998
45,2022-02-09,78040221424.51448,51617308589.74185,17083612770.332314
46,2022-02-10,78012911279.40565,51900324270.23098,17308481263.388927
47,2022-02-11,78515301961.99727,52054797409.33422,17487804531.669334
48,2022-02-12,78510632875.05116,52250598201.75346,17799637227.987434
49,2022-02-13,78531121017.32762,52335045827.80526,17597064971.83389
50,2022-02-14,78636273860.4074,52473422561.26789,17602107635.44248
51,2022-02-15,78558940144.38037,52507811955.329155,17543996992.453053
52,2022-02-16,78623518666.25392,52544445044.647194,17879803627.385544
53,2022-02-17,78732790424.18773,52583527242.903625,17753030700.814465
54,2022-02-18,78772769797.8431,52570695423.57979,18008918771.60908
55,2022-02-19,78727591077.37378,52556151807.35648,18225116559.41915
56,2022-02-20,79138436958.11234,52684758315.35818,18220650689.98769
57,2022-02-21,79163080614.69766,52682266468.54881,18121414706.81079
58,2022-02-22,79390647858.42392,52707824143.97695,18075611571.869392
59,2022-02-23,79377609210.60992,52829973427.75537,18406210758.03105
60,2022-02-24,79629945704.38928,52870303585.746864,18268468513.57685
61,2022-02-25,79631571239.38417,53249174589.12153,18574158973.339382
62,2022-02-26,79474403712.63367,53155258428.14018,18104304956.75291
63,2022-02-27,79679402405.45334,53354079813.04924,18139888642.243282
64,2022-02-28,79854422104.08676,53569960347.69177,18202814392.83918
65,2022-03-01,79537958059.76778,53458489274.503975,18353220338.196346
66,2022-03-02,79425591343.52524,53535209641.001274,18382100091.671154
67,2022-03-03,79854759317.0957,53460734124.1892,18175789874.315434
68,2022-03-04,79609484426.04549,53414694791.226585,18156898169.847725
69,2022-03-05,79843809462.27557,52845480300.88254,18001196173.000576
70,2022-03-06,79862020237.87378,52941838088.14542,17971274499.50204
71,2022-03-07,80091190392.11061,52806695838.05569,17964446977.799923
72,2022-03-08,79896920564.49644,52183496666.59115,17945395064.20044
73,2022-03-09,80070927070.8303,52392565506.46329,17854164138.53202
74,2022-03-10,80044018129.69551,52382602555.68522,18035230241.42059
75,2022-03-11,80042053179.78703,52536873749.484245,18010738247.63555
76,2022-03-12,80132712133.51192,52458033804.75082,17983717677.965153
77,2022-03-13,80116438307.62099,52421564168.44505,18008766678.686047
78,2022-03-14,80129528500.24916,52430189477.74789,18021431487.57278
79,2022-03-15,80072305020.48819,52442627222.68491,17949883795.52442
80,2022-03-16,80062438312.3427,52304672903.338715,17957609757.373047
81,2022-03-17,80082861270.62189,52316342174.52529,17816449007.710434
82,2022-03-18,80158683653.48831,52799091235.822136,17737964795.966484
83,2022-03-19,80532285250.16223,52830384957.85386,17799996510.94215
84,2022-03-20,80740243739.43092,52865924687.16587,17793390072.4692
85,2022-03-21,80827449076.5998,52986600672.8747,17795273132.72605
86,2022-03-22,80724926154.58902,53033013665.34929,17698555737.36224
87,2022-03-23,80845440414.56433,52648557137.90509,17663976262.571278
88,2022-03-24,80751116254.44928,52312387349.31226,17649309554.387024
89,2022-03-25,80927589776.60255,52500264884.50487,17600446272.88559
90,2022-03-26,81291023434.88872,51872642831.0315,17561510780.1452
91,2022-03-27,81304845676.71568,51968286154.62792,17579747654.48896
92,2022-03-28,81196385910.77495,51983272483.08239,17551556788.512524
93,2022-03-29,81349955673.2749,52033109393.4391,17493807586.9475
94,2022-03-30,81664851060.03252,51996541150.558464,17540916675.171288
95,2022-03-31,81930453189.4068,52132452506.24457,17463693556.029915
96,2022-04-01,82044965080.22784,51709881548.52324,17375628176.165237
97,2022-04-02,82105881308.2258,51950236854.862305,17760460569.09549
98,2022-04-03,82272678352.12729,51852952209.097885,17712279179.20339
99,2022-04-04,82388674420.82678,51625573576.44143,17764066834.73704
100,2022-04-05,82449008615.80792,51611805895.360146,17696187746.89655
101,2022-04-06,82412689459.25401,51298300548.70658,17917155168.26672
102,2022-04-07,82422893105.15454,50746204263.40102,17698452956.197918
103,2022-04-08,82509660677.2317,50918438012.98016,17644990421.1429
104,2022-04-09,82582177981.31122,50844820961.14952,17627673803.01152
105,2022-04-10,82608650898.85965,50831613833.527145,17958693197.136715
106,2022-04-11,82714703437.73296,50938471710.405594,17952321724.986645
107,2022-04-12,82634863680.08965,50626993742.14749,17792057898.89041
108,2022-04-13,82881751671.08333,50557027126.43927,17690560756.340794
109,2022-04-14,82736682156.53658,50352516151.447945,17470124744.863155
110,2022-04-15,82795954521.31792,50227458392.826164,17427842131.029125
111,2022-04-16,82766275585.9142,50134682250.43055,17436874853.462254
112,2022-04-17,82797938661.11595,50054012926.457146,17437203699.03429
113,2022-04-18,82811298303.06853,50048713207.89245,17411413024.627262
114,2022-04-19,82792973864.84837,49860188963.9289,17348028975.637012
115,2022-04-20,82787027489.10574,50018475091.44789,17407781769.693523
116,2022-04-21,83021908771.50435,49863548514.863235,17265763048.164326
117,2022-04-22,83120398074.31392,49861799099.86763,17367027421.884968
118,2022-04-23,83182809347.61438,49885461217.04316,17579887872.84907
119,2022-04-24,83198500616.62434,49903732595.29322,17554175637.123596
