,circulating_Ethereum,minted_Ethereum,datetime,circulating_Polygon,minted_Polygon,circulating_Tron,minted_Tron,circulating_BSC,minted_BSC
0,37120632685.70677,43655070577.03955,2022-05-12,1492624866.2861426,0.0,570887491.94,570887491.94,1781349898.242744,0
1,37120632685.70677,43655070577.03955,2022-05-13,1492624866.2861426,0.0,570887491.94,570887491.94,1781349898.242744,0
2,37550098190.485374,44062115126.04955,2022-05-14,1484029762.1612926,0.0,981492456.93,981492456.93,1781565496.2628407,0
3,37382493221.91092,43843241451.379555,2022-05-15,1477053064.318176,0.0,1408908771.97,1408908771.97,1781560636.5451732,0
4,37469339854.39893,43912938273.77955,2022-05-16,1482035644.527984,0.0,1381679964.64,1381679964.64,1781503030.2377279,0
5,37891942228.64521,44109761627.28955,2022-05-17,1486690662.4672472,0.0,2015507501.89,2015507501.89,1781531872.7513266,0
6,38122907179.60539,44300464164.489555,2022-05-18,1496081848.3692667,0.0,2015335766.79,2015335766.79,1781603273.671225,0
7,38311732091.276794,44432594892.35955,2022-05-19,1492306969.601777,0.0,2009289050.13,2009289050.13,1781584866.8469336,0
8,38597757743.24793,44713814093.25955,2022-05-20,1494244456.746708,0.0,2012933207.92,2012933207.92,1781588104.2730334,0
9,38644621063.357285,44865979353.09955,2022-05-21,1516241207.4347448,0.0,2009294596.31,2009294596.31,1881586968.7975123,0
10,38769524278.89769,44973240229.45955,2022-05-22,1516024873.652989,0.0,2009455407.7,2009455407.7,1881616139.8094628,0
11,38790593501.24855,45005392118.61955,2022-05-23,1515517293.4059527,0.0,2009455407.7,2009455407.7,1881612348.8053126,0
12,39036164153.2169,45222668354.669556,2022-05-24,1519660470.569336,0.0,1991399131.64,1991399131.64,1881592100.3036418,0
13,39118066731.3032,45320062821.04955,2022-05-25,1518572422.4088092,0.0,1974676779.2,1974676779.2,1881599796.2421777,0
14,39130765921.00349,45332522248.97955,2022-05-26,1520380893.461821,0.0,1968463569.77,1968463569.77,1881628345.7411928,0
15,38916112832.33311,45123594455.65955,2022-05-27,1522200947.1188912,0.0,1963737819.79,1963737819.79,1881611152.0418448,0
16,39273719767.838394,45447741322.32955,2022-05-28,1518398740.3244262,0.0,1962598646.66,1962598646.66,1881634585.4398115,0
17,39413934895.9276,45585235759.71955,2022-05-29,1521695730.5068328,0.0,1961005609.62,1961005609.62,1881595309.8358097,0
18,39416124139.843315,45591465099.10955,2022-05-30,1521289314.7318857,0.0,1961005609.62,1961005609.62,1881595949.816048,0
19,39395893867.56749,45597001356.20955,2022-05-31,1524950599.2946484,0.0,1957973096.08,1957973096.08,1881588439.2233148,0
20,39583324610.0991,45791563910.35955,2022-06-01,1524321762.4686284,0.0,1987658221.08,1987658221.08,1881574073.1570528,0
21,39675719653.78848,45847656244.669556,2022-06-02,1520472919.7464426,0.0,1979709674.03,1979709674.03,1881653661.322136,0
22,39630227139.07739,45802764829.45955,2022-06-03,1513514685.8048658,0.0,1972415556.35,1972415556.35,1881482168.4436622,0
23,39599337093.22338,45751089828.99955,2022-06-04,1513190153.8602006,0.0,1968978426.22,1968978426.22,1881303968.7895873,0
24,39572555937.16437,45725450695.669556,2022-06-05,1514606779.5097618,0.0,1968978426.22,1968978426.22,1881262783.1652095,0
25,39565595246.74668,45722778039.559555,2022-06-06,1519303971.1374888,0.0,1981637867.1,1981637867.1,1881197474.911427,0
26,39343773692.48583,45430079278.00955,2022-06-07,1512786164.418158,0.0,1991691621.13,1991691621.13,1881283040.7878985,0
27,39400067087.39052,45482848370.34955,2022-06-08,1509057859.3375509,0.0,2001272786.71,2001272786.71,1881179777.3457098,0
28,39349997980.89458,45440842460.17955,2022-06-09,1506575151.642054,0.0,1992439572.94,1992439572.94,1881168134.6453574,0
29,39413258295.44458,45469185576.809555,2022-06-10,1508254141.3096402,0.0,1971902088.49,1971902088.49,1881184728.6079657,0
30,38775766724.98204,45557831404.04955,2022-06-11,1500731106.0505621,0.0,1968887703.32,1968887703.32,1881204509.2575536,0
31,38815389597.06114,45626424249.03955,2022-06-12,1505309835.9918656,0.0,1968887703.32,1968887703.32,1881222747.3222048,0
32,39001107502.200424,45790635433.35955,2022-06-13,1508824973.87076,0.0,1968887703.32,1968887703.32,1881194627.730407,0
33,38905258661.80749,45559710275.39955,2022-06-14,1533334228.9175847,0.0,2614306308.16,2614306308.16,1881187304.481304,0
34,38745469911.02071,45453524278.75955,2022-06-15,1534393103.2502768,0.0,2616962533.94,2616962533.94,1881300050.6652174,0
35,39062947500.788994,45671814892.40955,2022-06-16,1529146121.8309627,0.0,2615389157.82,2615389157.82,1881298438.652107,0
36,39436736202.599724,46051031991.669556,2022-06-17,1524860225.6405275,0.0,2598312429.83,2598312429.83,1881297549.2711437,0
37,39719665825.184296,46310285252.86955,2022-06-18,1525573354.0753198,0.0,2889562202.73,2889562202.73,1881210611.4102972,0
38,40001113056.10339,46579916155.03955,2022-06-19,1528412378.1253083,0.0,2885275514.14,2885275514.14,1881277287.997955,0
39,40439836938.8571,46997027355.739555,2022-06-20,1521489207.819122,0.0,2888035141.24,2888035141.24,1881399703.7476876,0
40,40293047995.53277,46850910314.24955,2022-06-21,1519384219.9051392,0.0,2884774088.29,2884774088.29,1881411848.1809876,0
41,40395998799.95169,46967381825.02955,2022-06-22,1520378493.7422836,0.0,2892778451.01,2892778451.01,1881411523.1041071,0
42,40427449339.375206,47027997501.35955,2022-06-23,1517271915.1180522,0.0,2892367473.48,2892367473.48,1881400059.8932555,0
43,40180326384.75695,46818255237.46955,2022-06-24,1518334747.4959831,0.0,2896118033.88,2896118033.88,1881368618.921518,0
