,circulating_Ethereum,minted_Ethereum,datetime,circulating_Polygon,minted_Polygon,circulating_Tron,minted_Tron,circulating_BSC,minted_BSC
0,32068228476.475914,39815220940.39463,2022-05-12,733076816.694707,0,34828023792.906456,39735602236.54486,4982187165.910762,0
1,31850354401.25503,39815220940.39463,2022-05-13,733062480.2795041,0,34828083869.356285,39735602236.54486,4982173099.911209,0
2,30278261369.60264,39815220940.39463,2022-05-14,722424559.20433,0,33708489490.986385,39735602236.54486,4982200169.193893,0
3,30291990128.464535,36815220940.39463,2022-05-15,721463640.2007889,0,32752538043.604633,38735602236.54486,4982189573.180496,0
4,30329731027.557503,36815220940.39463,2022-05-16,720841109.838282,0,32752438593.18871,38735602236.54486,4982185074.174184,0
5,30398448388.316902,36815220940.39463,2022-05-17,722068545.4617779,0,32752406710.014645,38735602236.54486,4982176430.842969,0
6,29572043903.735424,36815220940.39463,2022-05-18,682231882.710487,0,32177516028.214436,38735602236.54486,4982182074.381293,0
7,29662189722.24001,36815220940.39463,2022-05-19,680938338.4469509,0,32177679993.868893,38735602236.54486,4982175163.003006,0
8,29656802027.519,36815220940.39463,2022-05-20,677623976.5072321,0,32177630195.796032,38735602236.54486,4982176336.835369,0
9,29328533607.584743,36815220940.39463,2022-05-21,673336346.486069,0,31625146536.705395,38735602236.54486,4982173314.708539,0
10,29336066102.59485,36815220940.39463,2022-05-22,673559891.126705,0,31624918489.489727,38735602236.54486,4982175838.021084,0
11,29343965950.715427,36815220940.39463,2022-05-23,673756424.788404,0,31624878412.699574,38735602236.54486,4982170595.043102,0
12,29430982453.131226,36815220940.39463,2022-05-24,677591865.841171,0,31624968532.85832,38735602236.54486,4982171975.157091,0
13,29429681796.3558,36815220940.39463,2022-05-25,677892157.841171,0,31624959240.90836,38735602236.54486,4982163521.559988,0
14,29386552242.51433,36815220940.39463,2022-05-26,679487435.1895651,0,31624978566.72157,38735602236.54486,4982164622.66679,0
15,29406736610.390675,36815220940.39463,2022-05-27,662611693.812676,0,31584829226.32835,38735602236.54486,4982163124.12193,0
16,30046294550.7211,36815220940.39463,2022-05-28,660955656.0486289,0,31052661727.55232,38735602236.54486,4982164180.875637,0
17,30041109525.91559,36815220940.39463,2022-05-29,660934297.120337,0,31052714461.55232,38735602236.54486,4982164458.095746,0
18,30111853612.955498,36815220940.39463,2022-05-30,660745678.7727399,0,31052745963.506947,38735602236.54486,4982159168.062808,0
19,30100953989.99964,36815220940.39463,2022-05-31,659438944.825651,0,31052743883.252514,38735602236.54486,4982161652.099256,0
20,30116255372.142628,36815220940.39463,2022-06-01,659620743.1182522,0,31052822314.288822,38735602236.54486,4982162059.587674,0
21,30118145127.600048,36815220940.39463,2022-06-02,659630320.710487,0,31052647037.252544,38735602236.54486,4982163919.801828,0
22,30063192505.73451,36815220940.39463,2022-06-03,650046333.5675828,0,31222658713.26418,38735602236.54486,4982166130.544952,0
23,30087045603.7788,36815220940.39463,2022-06-04,651974890.2312229,0,31227812912.73141,38735602236.54486,4982166120.600206,0
24,30134666033.12567,36815220940.39463,2022-06-05,652014349.026718,0,31227790991.531483,38735602236.54486,4982168029.231924,0
25,29960149489.88671,36815220940.39463,2022-06-06,652129979.44701,0,31412872947.311413,38735602236.54486,4982152316.968067,0
26,30103554039.67215,36815220940.39463,2022-06-07,626867103.4247419,0,31374951182.298878,38735602236.54486,4982165681.470751,0
27,30165603825.681236,36815220940.39463,2022-06-08,625203146.3907511,0,31314944922.501667,38735602236.54486,4982176293.68819,0
28,30163654775.11641,36815220940.39463,2022-06-09,625220687.5390488,0,31325134022.02731,38735602236.54486,4982172116.86381,0
29,30257813054.365795,36815220940.39463,2022-06-10,624973714.531994,0,31307215653.582188,38735602236.54486,4982177158.718909,0
30,30260551250.944912,36815220940.39463,2022-06-11,622901345.978115,0,31304521753.499516,38735602236.54486,4982179429.867535,0
31,30255765237.45831,36815220940.39463,2022-06-12,622873301.258559,0,31304824090.089725,38735602236.54486,4982158565.120712,0
32,30218028277.43429,36815220940.39463,2022-06-13,621638915.0575919,0,31143934289.80634,38735602236.54486,4982157566.504243,0
33,30027399900.272556,36815220940.39463,2022-06-14,641723473.637136,0,30830677359.30897,38735602236.54486,4981154073.696701,0
34,29717939850.877968,36815220940.39463,2022-06-15,635007403.795912,0,30410731521.798477,38735602236.54486,4981172868.270522,0
35,29511997780.30031,36815220940.39463,2022-06-16,633494870.641559,0,29868922414.22439,38735602236.54486,4981153688.973326,0
36,29265399801.297638,36815220940.39463,2022-06-17,648556993.627965,0,29288683201.825603,38735602236.54486,4981154940.4763565,0
37,28768596500.72875,36815220940.39463,2022-06-18,645627095.8177519,0,28809269752.805717,38735602236.54486,4981156969.425652,0
38,28750742031.54193,36815220940.39463,2022-06-19,645793138.6201099,0,28783058445.83256,38735602236.54486,4981157132.136287,0
39,28667735419.476215,36815220940.39463,2022-06-20,646484340.2689939,0,28624191524.48388,38735602236.54486,4981152019.839573,0
40,28746594083.493023,32315220940.39463,2022-06-21,646672701.1494449,0,28197723423.823277,32135602236.54486,4981148691.457247,0
41,28591687404.90264,32315220940.39463,2022-06-22,647920297.102611,0,27838694293.441116,32135602236.54486,4981149285.635763,0
42,28395228164.03156,32315220940.39463,2022-06-23,647947647.956239,0,27917490639.63507,32135602236.54486,4981149294.356065,0
43,28500486747.68286,32315220940.39463,2022-06-24,647794664.927279,0,27917688352.86866,32135602236.54486,4981149299.359585,0
44,28492775917.60432,32315220940.39463,2022-06-25,647486339.916931,0,27868375956.830177,32135602236.54486,4981149456.968502,0
45,28443458388.324326,32315220940.39463,2022-06-26,647416766.071403,0,27918412004.690693,32135602236.54486,4981150456.9128475,0
46,28434642753.32445,32315220940.39463,2022-06-27,647340720.9105389,0,27918111006.490692,32135602236.54486,4981148682.333709,0
47,28403554515.458027,32315220940.39463,2022-06-28,647385133.709212,0,27917957047.33867,32135602236.54486,4981151807.918379,0
48,28403257357.15503,32315220940.39463,2022-06-29,648824443.697515,0,27917450940.60779,32135602236.54486,4981152922.533384,0
49,28241324930.86167,32315220940.39463,2022-06-30,648738582.1597539,0,27664612471.098083,32135602236.54486,4981150320.812489,0
50,28212167907.054855,32314371239.606247,2022-07-01,648532643.1553891,0,27529025588.787228,32133194630.280807,4981147877.120344,0
51,28212485588.055466,32314371239.606247,2022-07-02,648078130.978625,0,27529203114.42205,32133194630.280807,4981145109.191071,0
52,28211765917.910404,32314371239.606247,2022-07-03,646215036.643551,0,27529072932.75061,32133194630.280807,4981145110.19107,0
53,28152949675.791084,32314371239.606247,2022-07-04,646177868.8980501,0,27445438277.946796,32133194630.280807,4981145152.189072,0
54,28181454173.373432,32314371239.606247,2022-07-05,646082546.063062,0,27380435113.882477,32133194630.280807,4981145778.424248,0
55,28181662253.53226,32314371239.606247,2022-07-06,643877375.4894649,0,27331106422.735176,32133194630.280807,4981146037.250689,0
56,28195041257.28653,32314371239.606247,2022-07-07,648575811.1276729,0,27331066426.899826,32133194630.280807,4981145039.350386,0
57,28202302323.336407,32314371239.606247,2022-07-08,647955076.083743,0,27331265026.799973,32133194630.280807,4981145352.1359005,0
58,28197875112.843616,32314371239.606247,2022-07-09,647769853.667025,0,27330740715.842983,32133194630.280807,4981147304.193241,0
59,28202103388.844913,32314371239.606247,2022-07-10,648065748.0363691,0,27330680501.37115,32133194630.280807,4981145819.903164,0
60,28202588841.10098,32313908246.384777,2022-07-11,648221440.751543,0,27330690968.568943,32130268679.280807,4981144469.16224,0
61,28202066610.64349,32313908246.384777,2022-07-12,648205156.821231,0,27330711121.417427,32130268679.280807,4981144692.587094,0
62,28168362299.412193,32313908246.384777,2022-07-13,648143469.62685,0,27330711121.417427,32130268679.280807,4981144692.587094,0
63,28156891527.848312,32313908246.384777,2022-07-14,648191495.637773,0,27330711121.417427,32130268679.280807,4981145232.501495,0
64,28154809333.73076,32313908246.384777,2022-07-15,648010756.9970139,0,27276100464.939167,32130268679.280807,4981144828.375629,0
65,28162107084.034058,32313908246.384777,2022-07-16,647582336.883776,0,27276067388.68465,32130268679.280807,4981146328.37563,0
66,28164860359.11406,32313908246.384777,2022-07-17,647524650.5175029,0,27276067388.68465,32130268679.280807,4981146328.375629,0
67,28165348385.23275,32313908246.384777,2022-07-18,647355121.792735,0,27295947496.555485,32130268679.280807,4981147155.195236,0
68,28173041877.476345,32313908246.384777,2022-07-19,647714433.330751,0,27247934566.37577,32130268679.280807,4981145595.036127,0
69,28091375436.512245,32313908246.384777,2022-07-20,647852676.2437949,0,27337935840.938896,32130268679.280807,4981145979.27357,0
70,28282434088.790096,32313908246.384777,2022-07-21,647883021.8715271,0,27337933839.938896,32130268679.280807,4981146211.892471,0
71,28241817190.613945,32313908246.384777,2022-07-22,648205670.79432,0,27414029927.312576,32130268679.280807,4981146111.892471,0
72,28234424668.897522,32313908246.384777,2022-07-23,644480256.835233,0,27414025878.1879,32130268679.280807,4981143493.44368,0
73,28234638222.403667,32313908246.384777,2022-07-24,645601535.9604739,0,27414004524.15739,32130268679.280807,4981143548.892316,0
74,28182153030.908016,32313908246.384777,2022-07-25,645646125.008594,0,27469050539.583366,32130268679.280807,4981143145.893133,0
75,28173760160.35142,32313908246.384777,2022-07-26,645673769.2688551,0,27498975523.042263,32130268679.280807,4981143149.392133,0
76,28067138759.89373,32313908246.384777,2022-07-27,645755702.420987,0,27600889876.081764,32130268679.280807,4981143149.392133,0
77,28048667729.017635,32313908246.384777,2022-07-28,645211987.2566551,0,27631890032.697014,32130268679.280807,4981137375.394125,0
78,28052841445.275154,32313908246.384777,2022-07-29,645093025.700184,0,27719550757.136833,32130268679.280807,4981137375.394125,0
79,28052522355.87784,32313908246.384777,2022-07-30,645661002.3934699,0,27863633539.731903,32130268679.280807,4981137516.837005,0
80,28094830890.054684,32313908246.384777,2022-07-31,645744300.4935,0,27964628585.451904,32130268679.280807,4981137616.837005,0
81,28095266508.955444,32313908246.384777,2022-08-01,645889148.948267,0,27964504323.70832,32130268679.280807,4981137659.97929,0
82,27986056964.0301,32313908246.384777,2022-08-02,648908328.0152769,0,28189596543.01967,32130268679.280807,4981137643.535557,0
83,27991142041.03927,32313908246.384777,2022-08-03,648980795.1894251,0,28294581515.30802,32130268679.280807,4981138225.844801,0
84,27993567218.596004,32313908246.384777,2022-08-04,646783549.5145429,0,28273389336.859,33130268679.280807,4981140113.902576,0
85,27982183240.00346,32313908246.384777,2022-08-05,647063981.460541,0,28273389336.859,33130268679.280807,4981138971.6663265,0
86,27966651443.22954,32313908246.384777,2022-08-06,647250951.318347,0,28273628806.498688,33130268679.280807,4981138971.6663265,0
87,27955438870.37318,32313908246.384777,2022-08-07,647501754.5649441,0,28273630050.009903,33130268679.280807,4981138971.6663265,0
88,27952536516.370434,32313908246.384777,2022-08-08,647609533.75897,0,28273643680.638134,33130268679.280807,4981137843.726278,0
89,27983127130.567806,32313908246.384777,2022-08-09,647531449.504964,0,28243754807.350178,33130268679.280807,4981137843.726278,0
90,28079363728.12174,32313908246.384777,2022-08-10,647607276.9848301,0,28255192052.860176,33130268679.280807,4981137914.726278,0
91,28218867032.021362,32313908246.384777,2022-08-11,647647278.1825901,0,28374168494.813663,33130268679.280807,4981133437.218527,0
92,28279841756.062435,32313908246.384777,2022-08-12,647326734.210769,0,28455168494.813663,33130268679.280807,4981134395.272959,0
93,28269099908.11054,32313908246.384777,2022-08-13,647532944.3873681,0,28603141931.131138,33130268679.280807,4981135665.13593,0
94,28257151367.578777,32313908246.384777,2022-08-14,660166776.822495,0,28850246773.14661,33130268679.280807,4981135149.616323,0
95,28252123604.629562,32313908246.384777,2022-08-15,663731428.717089,0,28980252025.4529,33130268679.280807,4981135154.24008,0
96,28242678197.34708,32313908246.384777,2022-08-16,673338891.6460971,0,29131347929.763905,33130268679.280807,4981135154.24008,0
